i0.25,-0.56,-4.19
u1,1547,26.67
i0.19,-0.63,-4.13
u2,1012,17.45
i0.19,-0.63,-4.13
u3,2813,48.50
i0.19,-0.56,-4.06
u4,5980,103.10
i0.13,-0.50,-4.06
u5,1597,27.53
i0.13,-0.56,-4.13
u6,6772,116.76
i0.25,-0.63,-4.25
u7,0,0.00
i0.50,-0.63,-4.31
u0,6656,114.76
i0.56,-0.63,-4.25
u1,1543,26.60
i0.50,-0.63,-4.25
u2,3710,63.97
i0.50,-0.63,-4.19
u3,2645,45.60
i0.69,-0.63,-4.13
u4,5264,90.76
i1.13,-0.63,-3.94
